id,retweetCount,replyCount,likeCount,quoteCount,createdAt,isRetweet,isReply,isQuote
1799947780267660000,0,0,4,0,Sun Jun 09 23:32:46 +0000 2024,false,false,true
1799947690756760000,18,14,193,7,Sun Jun 09 23:32:25 +0000 2024,false,false,false
1799947606933800000,0,2,51,2,Sun Jun 09 23:32:05 +0000 2024,false,false,false
1799947450691840000,4,7,58,4,Sun Jun 09 23:31:28 +0000 2024,false,false,false
1799934375192410000,0,0,0,0,Sun Jun 09 22:39:30 +0000 2024,false,false,true
1799908289100100000,1,0,3,0,Sun Jun 09 20:55:51 +0000 2024,false,false,true
1799901273619080000,0,1,2,0,Sun Jun 09 20:27:58 +0000 2024,false,false,true
1799901158925800000,1,0,1,0,Sun Jun 09 20:27:31 +0000 2024,false,false,false
1799893679189950000,0,0,0,0,Sun Jun 09 19:57:48 +0000 2024,false,false,true
1799878740325040000,0,0,1,0,Sun Jun 09 18:58:26 +0000 2024,false,false,false
1799877823026590000,1,0,0,0,Sun Jun 09 18:54:47 +0000 2024,false,false,true
1799876935012830000,0,0,1,0,Sun Jun 09 18:51:16 +0000 2024,false,false,true
1799875984717470000,0,0,1,0,Sun Jun 09 18:47:29 +0000 2024,false,false,true
1799866354033660000,0,0,0,0,Sun Jun 09 18:09:13 +0000 2024,false,false,false
1799853393097200000,1,0,2,0,Sun Jun 09 17:17:43 +0000 2024,false,false,false
1799846321849020000,0,0,0,0,Sun Jun 09 16:49:37 +0000 2024,false,false,true
1799844652117340000,0,0,0,0,Sun Jun 09 16:42:59 +0000 2024,false,true,false
1799842417417640000,0,0,1,0,Sun Jun 09 16:34:06 +0000 2024,false,false,false
1799841203061740000,0,0,0,0,Sun Jun 09 16:29:16 +0000 2024,false,false,true
1799840909175190000,0,0,0,0,Sun Jun 09 16:28:06 +0000 2024,false,false,false
1799839020098480000,42,16,137,5,Sun Jun 09 16:20:36 +0000 2024,false,false,false
1799838681764970000,0,0,2,0,Sun Jun 09 16:19:15 +0000 2024,false,false,false
1799835243782010000,5,1,12,0,Sun Jun 09 16:05:36 +0000 2024,false,false,false
1799832941956420000,14,3,20,1,Sun Jun 09 15:56:27 +0000 2024,false,false,false
1799947180570240000,0,0,10,0,Sun Jun 09 23:30:23 +0000 2024,false,false,true
1799947028841310000,0,0,6,0,Sun Jun 09 23:29:47 +0000 2024,false,false,false
1799946966182560000,0,2,7,0,Sun Jun 09 23:29:32 +0000 2024,false,false,false
1799946884012010000,1,5,43,1,Sun Jun 09 23:29:13 +0000 2024,false,false,false
1799945675846960000,48,65,821,3,Sun Jun 09 23:24:25 +0000 2024,false,false,false
1799945574852310000,127,45,2092,128,Sun Jun 09 23:24:01 +0000 2024,false,false,false
1799945488671880000,2,7,55,2,Sun Jun 09 23:23:40 +0000 2024,false,false,false
1799945486495010000,7,0,50,0,Sun Jun 09 23:23:40 +0000 2024,false,false,false
1799945444300030000,3,19,100,4,Sun Jun 09 23:23:29 +0000 2024,false,false,false
1799944845513140000,0,1,0,0,Sun Jun 09 23:21:07 +0000 2024,false,false,false
1799944686574210000,790,117,8152,572,Sun Jun 09 23:20:29 +0000 2024,false,false,false
1799944576414700000,10,5,44,1,Sun Jun 09 23:20:03 +0000 2024,false,false,false
1799944559772020000,0,0,1,0,Sun Jun 09 23:19:59 +0000 2024,false,false,false
1799943827895250000,5,6,159,13,Sun Jun 09 23:17:04 +0000 2024,false,false,false
1799937885921270000,0,1,0,0,Sun Jun 09 22:53:27 +0000 2024,false,true,false
1799937444655270000,0,0,9,0,Sun Jun 09 22:51:42 +0000 2024,false,false,false
1799936676674020000,0,0,19,0,Sun Jun 09 22:48:39 +0000 2024,false,false,false
1799936241062090000,0,0,1,0,Sun Jun 09 22:46:55 +0000 2024,false,false,true
1799935122592150000,3,4,30,0,Sun Jun 09 22:42:29 +0000 2024,false,false,false
1799934957999010000,0,2,1,0,Sun Jun 09 22:41:49 +0000 2024,false,false,false
1799934917284950000,0,2,5,0,Sun Jun 09 22:41:40 +0000 2024,false,false,false
1799934585536690000,0,1,2,0,Sun Jun 09 22:40:21 +0000 2024,false,false,false
1799934237711160000,5,8,52,0,Sun Jun 09 22:38:58 +0000 2024,false,false,false
1799934054655280000,0,0,1,0,Sun Jun 09 22:38:14 +0000 2024,false,false,false
1799934011533670000,5,8,96,11,Sun Jun 09 22:38:04 +0000 2024,false,false,false
1799933853168980000,0,0,0,0,Sun Jun 09 22:37:26 +0000 2024,false,false,false
1799933365232990000,5,49,42,0,Sun Jun 09 22:35:30 +0000 2024,false,false,false
1799932965591360000,0,0,0,0,Sun Jun 09 22:33:54 +0000 2024,false,false,false
1799932810225960000,0,1,2,0,Sun Jun 09 22:33:17 +0000 2024,false,false,false
1799932523482390000,0,0,1,0,Sun Jun 09 22:32:09 +0000 2024,false,false,false
1799932469929470000,7,2,86,0,Sun Jun 09 22:31:56 +0000 2024,false,false,false
1799932457921170000,0,0,1,0,Sun Jun 09 22:31:53 +0000 2024,false,false,false
1799932257022420000,0,1,9,1,Sun Jun 09 22:31:05 +0000 2024,false,false,false
1799931902180130000,0,0,1,0,Sun Jun 09 22:29:41 +0000 2024,false,false,false
1799931842012820000,0,0,0,0,Sun Jun 09 22:29:26 +0000 2024,false,false,false
1799931336053960000,0,0,0,0,Sun Jun 09 22:27:26 +0000 2024,false,false,false
