postId,likesCount,sharesCount,commentsCount,date
975721274557770,25,3,1,2024-05-31T11:19:03.000Z
787531910167691,114,47,3,2024-06-04T10:29:04.000Z
1007746874252730,205,60,35,2024-05-10T19:13:27.000Z
10226218259535600,178,47,4,2024-02-02T16:41:15.000Z
978495080949849,960,69,50,2024-05-13T09:40:01.000Z
994726388924147,168,7,22,2024-06-10T08:28:46.000Z
768909961720062,51,13,3,2024-01-17T15:45:09.000Z
501592635547117,408,30,20,2024-06-10T20:00:08.000Z
864506889037991,113,11,79,2024-06-09T22:35:25.000Z
997793775037971,44,12,7,2024-05-19T18:40:14.000Z
892458989590096,10,0,1,2024-06-15T11:30:49.000Z
10226900359107700,218,56,2,2024-06-11T15:14:14.000Z
1046873956799540,40,1,16,2024-07-07T17:46:42.000Z
10234180979729900,137,90,83,2024-10-08T09:47:20.000Z
875874741360411,258,34,29,2024-10-27T09:48:33.000Z
407311038972312,60,2,6,2024-06-09T06:45:29.000Z
1018740292943520,25,0,1,2024-06-03T18:31:28.000Z
803119401804497,286,16,387,2024-06-24T12:50:26.000Z
838845288277320,150,25,269,2024-04-18T17:10:42.000Z
873221488173033,462,45,342,2024-06-09T19:13:39.000Z
869213971677040,50,10,3,2024-05-10T09:20:44.000Z
1029705635183040,236,2,52,2024-06-08T16:49:32.000Z
780613934192822,100,30,26,2024-05-23T15:51:34.000Z
847064147449202,63,0,66,2024-04-26T06:48:07.000Z
868339921767504,73,4,16,2024-05-01T16:25:45.000Z
881509337343699,24,12,7,2024-06-09T16:14:38.000Z
880406740787292,23,33,2,2024-06-07T20:16:10.000Z
1035199911303630,63,2,1,2024-05-30T10:19:39.000Z
1043286140490580,62,2,1,2024-04-30T20:19:55.000Z
988697409287136,701,17,408,2024-05-11T14:25:39.000Z
1025702495583670,2438,33,629,2024-06-10T07:06:10.000Z
1055189225966940,267,11,38,2024-05-19T13:06:01.000Z
1009709507389800,997,90,189,2024-05-13T16:53:51.000Z
1020600789433190,1864,117,144,2024-05-31T08:46:19.000Z
1059386209046140,302,29,11,2024-06-05T10:21:45.000Z
832521528697921,24,1,0,2024-05-02T13:40:24.000Z
1019790079511720,214,8,204,2024-06-01T20:05:58.000Z
792159059608230,264,41,63,2024-02-26T15:30:21.000Z
992980952829723,126,19,27,2024-06-10T18:24:19.000Z
875242234737063,417,23,491,2024-10-28T20:32:16.000Z
881641943994153,39,1,4,2024-06-22T08:00:20.000Z
943738031115336,85,47,34,2024-10-09T11:33:26.000Z
822093533284998,10,4,1,2024-05-02T18:15:57.000Z
843025834519700,65,7,127,2024-04-20T07:39:33.000Z
1009699217183100,56,13,0,2024-06-08T11:51:36.000Z
857195829779752,25,4,7,2024-05-30T08:04:35.000Z
908567294406959,155,5,24,2024-06-09T14:53:10.000Z
894949749105793,72,3,2,2024-06-04T22:46:38.000Z
870919948403187,60,7,91,2024-06-06T10:04:14.000Z
873492831249154,49,4,5,2024-05-17T08:57:27.000Z
885297160068721,40,7,6,2024-06-06T13:03:21.000Z
1014127180078690,204,36,34,2024-06-02T20:13:03.000Z
1019583999532330,67,1,10,2024-06-01T12:22:41.000Z
862273569045279,74,1,0,2024-06-09T09:18:51.000Z
1021577055999690,83,7,19,2024-06-04T20:36:43.000Z
969586795170799,2147,429,90,2024-06-10T06:00:52.000Z
886471553287754,42,0,21,2024-06-08T04:30:05.000Z
1006407460849290,182,22,35,2024-06-06T06:00:46.000Z
867097618782825,96,6,25,2024-06-10T16:28:16.000Z
855491176622432,30,9,3,2024-05-16T10:30:39.000Z
850725073905615,47,4,12,2024-10-17T16:29:29.000Z
1003208534503210,131,3,3,2024-05-05T18:49:56.000Z
974316264700489,54,1,262,2024-06-11T13:27:05.000Z
1034578671366290,60,1,2,2024-06-09T19:56:35.000Z
872777864891859,14,1,3,2024-05-18T15:46:35.000Z
866724135261027,82,3,22,2024-04-25T15:59:30.000Z
